Whole Sentence,Class
"After starting SWARM, a panel will be visible on the left side of the main screen.",NC
"To install SWARM, unzip the download swarn-x.",NC
frequency specifies the x-axis maximum.,NC
Figure 1 Swarm Directory Contents 2.,NC
Below are the functions available in the toolbar above the helicorder.,NC
X is the number of minutes to display along the bottom of the helicorder.,NC
Y is the total time in hours to display on the helicorder.,NC
Also available is a button to display the Wave View Settings Dialog.,NC
Refresh is the number of seconds between attempts to refresh the helicorder with the latest data. ,NC
Auto-scale toggles helicorder auto-scaling on and off. ,NC
This is best understood through experimentation.,NC
"The new settings are applied on next helicorder update, which may be several seconds.",NC
Due to the large volume of data and complex calculations performed it is recommended to run on SWARM with modern specifications for memory and processing speed.,NC
IRIS Data Management Center (DMC) hosts a public accessible SeedLink server.,NC
Maximizing the application window to full screen size will provide the best user experience.,NC
Matlab-readable text files do not contain station information.,NC
This information can be provided through a configuration file that Swarm will prompt for when opening WIN files.,NC
"Abbreviations may work, but it is recommended to use the full time zone name (e.g. Americas/New_York, Atlantic/Reykjavik).",NC
See section on Wave Views for more information on wave view settings and types.,NC
One of SWARM’s primary functions is to display helicorders and allow user interactions with it. ,NC
Figure 4 Adding new Earthworm data source.,NC
Earthworm is an open-source software system used globally for regional local network seismology.,NC
"Double clicking on a data source will cause a channel tree to appear, listing the available channels.",NC
A data server that the user manually added with the ‘New data source’ option.,NC
A data source can be refreshed by The icon in the upper right lets the user dismiss the whole data source chooser window if  more space is desired.,NC
SWARM is preconfigured with AVO Winston Wave Server.,NC
"On Linux or Mac operating systems, you will need to execute swarm.sh from the terminal (command-line).",NC
The small padlock denotes that it is not possible to edit or delete it from SWARM.,NC
Refresh is the number of seconds between attempts to refresh the helicorder with the latest data.,NC
When auto-scaling is on an attempt is made to produce a “pleasant” looking helicorder.,NC
This is best understood through experimentation.,NC
Any time a wave view is seen in SWARM there are settings associated with that individual view.,NC
