Whole Sentence,Class
see the section called Tabbing and Indentation for details.,NC
"For example, if some text was inserted, Undo will remove it from the buffer.",NC
"The default behavior of the C+LEFT, C+RIGHT, C+BACKSPACE and C+DELETE commands is to stop both at the beginning and the end of each word.",NC
"Commands that filter text (such as Spaces to Tabs, Range Comment, Replace in Selection, and so on) behave as if each block was selected independently, and the command invoked on each in turn.",NC
Edit>More Selection>Select None (shortcut: ESCAPE) deactivates the selection.,NC
View - Toggle Full Screen is one example.,NC
"When inserting text, the TAB and ENTER keys might not behave entirely like you expect because of various indentation features; see the section called “Tabbing and Indentation” for details.",NC
Inserting text while there is a selection will replace the selection with the inserted text.,NC
"If you undo too many changes, Edit>Redo (shortcut: C+e C+z) can restore the changes again.",NC
"Edit>Complete Word (shortcut:  C+b) locates possible completions for the word at the caret, first by looking in the current edit mode's syntax highlighting keyword list, and then in the current buffer for words that begin with the word at the caret.",NC
"Note Rectangular selections are implemented using character offsets, not absolute screen positions, so they might not behave as you might expect if a proportional-width font is being used or if soft wrap is enabled.",NC
Setting this option will use all open buffers to search for possible completions.,NC
"If you undo too many changes, Edit>Redo (shortcut: C+e C+z) can restore the changes again.",NC
"For this reason, a number of jEdit's actions have a side-effect of focusing on the text area as well.",NC
Range selections are equivalent to selections in most other text editors; they cover text between two points in a buffer.,NC
Editing Text Selecting Text A selection is a block of text marked for further manipulation.,NC
"Commands that filter text (such as Spaces to Tabs, Range Comment, Replace in Selection, and so on) behave as if each block was selected independently, and the command invoked on each in turn.",NC
"Note, this can degrade completion performance if many buffers are open.",NC
The simplest way to delete text is with the BACKSPACE and DELETE keys.,NC
section called Working With Lines and the section called Working With Paragraphs.,NC
"The ENTER key can be bound to one of the following, or indeed any other command or macro:",NC
Working With Paragraphs.,NC
see the section called The Shortcuts Panel.,NC
"Normally, a word is a sequence of alphanumerics, but you can add other characters as part of what jEdit considers to be a 'word', set on a global or mode basis from Global Options - Editing - Extra Word Characters.",NC
"Edit>Complete Word (shortcut: C+b) locates possible completions for the word at the caret, first by looking in the current edit mode's syntax highlighting keyword list, and then in the current buffer for words that begin with the word at the caret.",NC
"More complicated operations, such as a search and replace, can also be undone.",NC
"For this reason, a number of jEdit's actions have a side-effect of focusing on the text area as well.",NC
"Rectangles can be deleted, copied, pasted, and operated on using ordinary editing commands.",NC
The Shortcuts Panel.,NC
Setting this option will use all open buffers to search for possible completions.,NC
"In addition, this behavior can be changed by remapping these keystrokes to alternative actions whose names end with (Eat Whitespace) in the Shortcuts pane of the Utilities>Options dialog box; see the section called “The Shortcuts Pane”.",NC
"For this reason, a number of jEdit's actions have a side-effect of focusing on the text area as well.",NC
Editing Text Selecting Text A selection is a block of text marked for further manipulation.,NC
The text area font can be changed in the Text Area pane of the Utilities> Options dialog box.,NC
The caret can also be moved using the keyboard.,NC
"More advanced caret movement is covered in the section called “Working With Words”, the section called “Working With Lines” and the section called “Working With Paragraphs”.",NC
"Furthermore, several chunks of text can be selected and operated on simultaneously.",NC
"This can be used to insert a new column between two existing columns, for example.",NC
Text entered at the keyboard is inserted into the buffer.,NC
Commands that insert (or paste) text replace each selection with the entire text that is being inserted.,NC
"To ensure that the keyboard is focused in the textarea, you can always use the mouse and click in it, but a more keyboard-friendly way is preferred when you are just about to start typing anyway.",NC
Dragging with the Control key held down will create a rectangular selection.,NC
"C+BACKSPACE and C+DELETE delete the word before or after the caret, respectively.",NC
Edit>More Selection>Select Line Range (shortcut: C+e C+l) prompts for two line numbers and selects all text between them.,NC
A selection is a block of text marked for further manipulation.,NC
The set of possible words can be expanded by enabling the Global Options - Text Area - Complete words from all open buffers option.,NC
Edit>Undo (shortcut: C+z) reverses the most recent editing command.,NC
"If you prefer more traditional behavior for the HOME and END keys, you can reassign the respective keyboard shortcuts in the Shortcuts pane of the Utilities>Options; see the section called “The Shortcuts Pane”.",NC
