Clause Start,Clause End,Clause,Whole Start,Whole End,Whole Sentence,Class
33636,33765,a wave by left clicking and dragging over the portion to zoom in on (the transparent yellow block is showing the act of zooming).,33636,33765,It�s also possible to zoom into any portion of a wave by left clicking and dragging over the portion to zoom in on (the transparent yellow block is showing the act of zooming).,NC
18953,18999,Figure 6 Adding a new SeedLink data source 3.,18953,18999,Figure 6 Adding a new SeedLink data source 3.,NC
17200,17243,Figure 3 Adding new Winston data source 3.,17200,17243,Figure 3 Adding new Winston data source 3.,NC
33920,33948,Figure 15 Wave Clipboard 6.,33920,33948,Figure 15 Wave Clipboard 6.,NC
28352,28385,"To apply filter, press the F key.",28352,28385,"To apply filter, press the F key.",NC
29195,29346,"Some wave data, such as those imported from Matlab-readable text files, may not have the required station and channel information to perform this plot.",29195,29346,"Some wave data, such as those imported from Matlab-readable text files, may not have the required station and channel information to perform this plot.",NC
19621,19646,"MLLR EHE.txt, MEV SHN OP.",19621,19646,"Simply name the files with the SCNL information separated by space or underscore (_), e.g. MLLR_EHE.txt, MEV SHN OP.txt, etc",NC
21435,21526,It will also use the WIN configuration selected for the first file on all subsequent files.,21435,21526,It will also use the WIN configuration selected for the first file on all subsequent files.,NC
26076,26271,"For example, if there is a seismometer that reports counts between -3600 and 3600 and a bar range of 1200 is selected, a full-range waveform will take 3 bars, overlapping one above and one below.",26076,26271,"For example, if there is a seismometer that reports counts between -3600 and 3600 and a bar range of 1200 is selected, a full-range waveform will take 3 bars, overlapping one above and one below.",NC
28388,28418,Figure 13 Spectrogram view 5.,28388,28418,Figure 13 Spectrogram view 5.,NC
18799,18820,can be found at http:,18799,18820,More information on SeedLink and IRIS DMC�s server can be found at http://ds.iris.edu/ds/nodes/dmc/services/seedlink/. ,NC
24134,24275,All the settings for the helicorder view can be manipulated in the helicorder view settings dialog which can be opened by clicking on the 4.,24134,24275,All the settings for the helicorder view can be manipulated in the helicorder view settings dialog which can be opened by clicking on the button.,NC
31887,31997,Increasing the number of samples increases the vertical resolution while decreasing the horizontal resolution.,31887,31997,Increasing the number of samples increases the vertical resolution while decreasing the horizontal resolution.,NC
15256,15426,"To remove an existing data source, select the data source to delete and click on ‘Remove data source’ icon clicking on it and selecting the ‘Refresh data source’ icon .",15256,15426,"To remove an existing data source, select the data source to delete and click on 'Remove data source' icon clicking on it and selecting the 'Refresh data source' icon .",NC
21171,21342,"Since there usually many WIN files associated with a wave, it is advised that the ‘Assume all unknown files are of this type’ option when prompted for file type selection.",21171,21342,"Since there usually many WIN files associated with a wave, it is advised that the 'Assume all unknown files are of this type' option when prompted for file type selection.",NC
33261,33441,"This allows users, for example, to compare arrival times across many stations, look at the same waveform with three different filters, or compare different events from one station.",33261,33441,"This allows users, for example, to compare arrival times across many stations, look at the same waveform with three different filters, or compare different events from one station.",NC
14252,14345,"line in the center, either by dragging with the mouse or clicking on one of the small arrows.",14252,14345,"It�s possible to adjust the size of the two panels by adjusting the split line in the center, either by dragging with the mouse or clicking on one of the small arrows.",NC
16899,17001,Winston is a Java-based seismic wave server developed by USGS that provides data and plots to clients.,16899,17001,Winston is a Java-based seismic wave server developed by USGS that provides data and plots to clients.,NC
27438,27471,"To apply filter, press the F key.",27438,27471,"To apply filter, press the F key.",NC
19976,20050,The Japanese WIN format does not contain station or time zone information.,19976,20050,The Japanese WIN format does not contain station or time zone information.,NC
19281,19463,"While the station information is not strictly necessary to display the data in helicorder and most other views, it may be required in some cases, such as in the particle motion view.",19281,19463,"While the station information is not strictly necessary to display the data in helicorder and most other views, it may be required in some cases, such as in the particle motion view.",NC
25516,25625,This effectively eliminates all drift and is useful for broadband stations with lots of low frequency energy.,25516,25625,This effectively eliminates all drift and is useful for broadband stations with lots of low frequency energy.,NC
14041,14123,"After starting SWARM, a panel will be visible on the left side of the main screen.",14041,14123,"After starting SWARM, a panel will be visible on the left side of the main screen.",NC
13432,13477,"To install SWARM, unzip the download swarn-x.",13432,13477,"To install SWARM, unzip the download swarn-x.",NC
30335,30374,frequency specifies the x-axis maximum.,30335,30374,frequency specifies the x-axis maximum.,NC
13605,13642,Figure 1 Swarm Directory Contents 2.,13605,13642,Figure 1 Swarm Directory Contents 2.,NC
0,0,0,0,0,Below are the functions available in the toolbar above the helicorder.,NC
0,0,0,0,0,X is the number of minutes to display along the bottom of the helicorder.,NC
0,0,0,0,0,Y is the total time in hours to display on the helicorder.,NC
0,0,0,0,0,Also available is a button to display the Wave View Settings Dialog.,NC
0,0,0,0,0,Refresh is the number of seconds between attempts to refresh the helicorder with the latest data. ,NC
0,0,0,0,0,Auto-scale toggles helicorder auto-scaling on and off. ,NC
0,0,0,0,0,This is best understood through experimentation.,NC
0,0,0,0,0,"The new settings are applied on next helicorder update, which may be several seconds.",NC
