Clause Start,Clause End,Clause,Whole Start,Whole End,Whole Sentence,Class
20138,20159,non-repeatable entity,20105,20206,"InputStreamEntity is a streamed, non-repeatable entity that obtains its content from an input stream.",C
20160,20205,that obtains its content from an input stream,20105,20206,"InputStreamEntity is a streamed, non-repeatable entity that obtains its content from an input stream.",C
20208,20273,Construct it by supplying the input stream and the content length,20207,20274,Construct it by supplying the input stream and the content length.,C
20361,20459,"If the length matches the content length available
on the input stream, then all data will be sent",20361,20460,"If the length matches the content length available on the input stream, then all data will be sent.",C
20476,20543,"a negative content length will read all data
from the input stream,",20461,20655,"Alternatively, a negative content length will read all data from the input stream, which is the same as supplying the exact content length, so use the length to limit the amount of data to read.",C
20821,20838,repeatable entity,20789,20876,"FileEntity is a self-contained, repeatable entity that obtains its content from a file.",C
20942,20989,you need to supply the content type of the file,20877,21096,"Use this mostly to stream large files of different types, where you need to supply the content type of the file, for instance, sending a zip file would require the content type application/zip, for XML application/xml.",C
21802,21846,"If the supplied entity
is already repeatable",21802,21904,"If the supplied entity is already repeatable, it simply passes calls through to the underlying entity.",C
9768,9967,"HttpCore defines the HTTP message object model to follow this definition closely, and provides extensive support for serialization (formatting) and deserialization (parsing) of HTTP message elements.",9768,9967,"HttpCore defines the HTTP message object model to follow this definition closely, and provides extensive support for serialization (formatting) and deserialization (parsing) of HTTP message elements.",NC
10948,10998,System.out.println(response.getProtocolVersion());,10948,10998,System.out.println(response.getProtocolVersion());,NC
21276,21364,The wrapping entity holds a reference to a wrapped entity and delegates all calls to it.,21276,21364,The wrapping entity holds a reference to a wrapped entity and delegates all calls to it.,NC
21098,21193,"HttpEntity entity = new FileEntity(staticFile, ContentType.create(""application/java-archive""));",21098,21193,"HttpEntity entity = new FileEntity(staticFile, ContentType.create(""application/java-archive""));",NC
10002,10084,HTTP request message HTTP request is a message sent from the client to the server.,10002,10084,HTTP request message HTTP request is a message sent from the client to the server.,NC
15616,15729,Please note that some non-streaming (self-contained) entities may be unable to represent their content as a java.,15616,15729,Please note that some non-streaming (self-contained) entities may be unable to represent their content as a java.,NC
21530,21584,BufferedHttpEntity is a subclass of HttpEntityWrapper.,21530,21584,BufferedHttpEntity is a subclass of HttpEntityWrapper.,NC
11224,11246,OK HTTP/1.1 200 OK 1.,11224,11246,HTTP/1.1 200 OK.,NC
21627,21699,"It reads the content from the supplied entity, and buffers it in memory.",21627,21699,"It reads the content from the supplied entity, and buffers it in memory.",NC
18238,18306,"In general, use this class for entities received from HTTP messages.",18238,18306,"In general, use this class for entities received from HTTP messages.",NC
13180,13241,"System.out.println(elem.getName() + "" = "" + elem.getValue());",13180,13241,"System.out.println(elem.getName() + "" = "" + elem.getValue());",NC
18158,18237,"Exactly as the name implies, this basic entity represents an underlying stream.",18158,18237,"Exactly as the name implies, this basic entity represents an underlying stream.",NC
18307,18344,This entity has an empty constructor.,18307,18344,This entity has an empty constructor.,NC
18672,18709,myEntity.setContent(someInputStream);,18672,18709,myEntity.setContent(someInputStream);,NC
21365,21520,Implementations of wrapping entities can derive from this class and need to override only those methods that should not be delegated to the wrapped entity.,21365,21520,Implementations of wrapping entities can derive from this class and need to override only those methods that should not be delegated to the wrapped entity.,NC
17491,17520,HttpEntity entity = response.,17491,17520,HttpEntity entity = response.,NC
15925,16043,The EntityUtils class exposes several static methods to simplify extracting the content or information from an entity.,15925,16043,The EntityUtils class exposes several static methods to simplify extracting the content or information from an entity.,NC
15616,15729,Please note that some non-streaming (self-contained) entities may be unable to represent their content as a java.,15616,15729,Please note that some non-streaming (self-contained) entities may be unable to represent their content as a java.,NC
14763,14839,"An entity can be repeatable, meaning its content can be read more than once.",14763,14839,"An entity can be repeatable, meaning its content can be read more than once.",NC
10855,10934,"HttpResponse response = new BasicHttpResponse(HttpVersion.HTTP 1 1, HttpStatus.",10855,10934,"HttpResponse response = new BasicHttpResponse(HttpVersion.HTTP_1_1, HttpStatus.SC_OK, ""OK"")",NC
16044,16203,"Instead of reading the java.io.InputStream directly, one can retrieve the complete content body in a string or byte array by using the methods from this class.",16044,16203,"Instead of reading the java.io.InputStream directly, one can retrieve the complete content body in a string or byte array by using the methods from this class.",NC
10228,10295,"HttpRequest request = new BasicHttpRequest(""GET"", ""/"", HttpVersion.",10228,10295,"HttpRequest request = new BasicHttpRequest(""GET"", ""/"", HttpVersion.",NC
21585,21626,Construct it by supplying another entity.,21585,21626,Construct it by supplying another entity.,NC
21585,21626,Construct it by supplying another entity.,21585,21626,Construct it by supplying another entity.,NC
21222,21275,This is the base class for creating wrapped entities.,21222,21275,This is the base class for creating wrapped entities.,NC
12937,12976,"response.addHeader(""Set-Cookie"", ""c2=b;",12937,12976,"response.addHeader(""Set-Cookie"", ""c2=b; path=\""/\"", c3=c; domain=\""localhost\"""");",NC
18672,18709,myEntity.setContent(someInputStream);,18672,18709,myEntity.setContent(someInputStream);,NC
17066,17094,System.out.println(myEntity.,17066,17094,System.out.println(myEntity.getContentLength());,NC
11833,11882,"Header h2 = response.getLastHeader(""Set-Cookie"");",11833,11882,"Header h2 = response.getLastHeader(""Set-Cookie"");",NC
13699,13780,HTTP messages can carry a content entity associated with the request or response.,13699,13780,HTTP messages can carry a content entity associated with the request or response.,NC
15757,15924,It is legal for such entities to implement HttpEntity#writeTo(OutputStream) method only and to throw UnsupportedOperationException from HttpEntity#getContent() method.,15757,15924,It is legal for such entities to implement HttpEntity#writeTo(OutputStream) method only and to throw UnsupportedOperationException from HttpEntity#getContent() method.,NC
14312,14375,"The content is received from a stream, or generated on the fly.",14312,14375,"The content is received from a stream, or generated on the fly.",NC
0,0,There is an efficient way to obtain all headers of a given type using the  HeaderIterator interface.,0,0,There is an efficient way to obtain all headers of a given type using the  HeaderIterator interface.,NC
0,0,It also provides convenience methods to parse HTTP messages into individual header elements.,0,0,It also provides convenience methods to parse HTTP messages into individual header elements.,NC
0,0,"Entities can be found in some requests and in some responses, as they are optional. ",0,0,"Entities can be found in some requests and in some responses, as they are optional. ",NC
0,0,"HttpCore distinguishes three kinds of entities, depending on where their content originates:",0,0,"HttpCore distinguishes three kinds of entities, depending on where their content originates:",NC
0,0,"Since an entity can represent both binary and character content, it has support for character encodings (to support the latter, i.e. character content).",0,0,"Since an entity can represent both binary and character content, it has support for character encodings (to support the latter, i.e. character content).",NC
0,0,Please note that some non-streaming (self-contained) entities may be unable to represent their content as a java.io.InputStream efficiently.,0,0,Please note that some non-streaming (self-contained) entities may be unable to represent their content as a java.io.InputStream efficiently.,NC
